Name,User name,Log in,Log out,Cytometer,Duration
Peter Frank,user3,2014-01-29 07:35:55,2014-01-29 09:30:58,LSRII,1.9175
Peter Frank,user3,2014-01-29 09:31:16,####-##-## ##:##:##,LSRII,0.0
Peter Frank,user3,2014-01-29 12:20:48,2014-01-29 12:41:24,LSRII,0.3433333333
Peter Frank,user3,2014-10-09 08:45:46,2014-10-09 09:08:32,FACSCantoII,0.3794444444
Peter Frank,user3,2014-10-09 09:11:45,2014-10-09 11:35:06,FACSCantoII,2.3891666667
Peter Frank,user3,2014-10-10 07:40:28,2014-10-10 08:31:22,FACSCantoII,0.8483333333
Peter Frank,user3,2014-10-10 14:33:17,2014-10-10 14:41:35,FACSCantoII,0.1383333333
Peter Frank,user3,2014-10-13 07:38:36,2014-10-13 08:17:35,FACSCantoII,0.6497222222
,,,,Total,24.6491666666

Frank Moses,user4,2012-04-06 14:42:06,2012-04-06 14:44:32,LSRII,0.0405555556
Frank Moses,user4,2012-04-06 14:44:36,2012-04-06 17:04:21,LSRII,2.3291666667
Frank Moses,user4,2012-04-06 17:04:37,2012-04-07 17:29:32,LSRII,24.4152777778
Frank Moses,user4,2012-04-07 17:29:49,2012-04-07 17:41:42,LSRII,0.1980555556
Frank Moses,user4,2012-04-07 17:43:54,####-##-## ##:##:##,LSRII,0.0
Frank Moses,user4,2012-04-07 17:51:50,2012-04-07 21:34:23,LSRII,3.7091666667
Frank Moses,user4,2012-04-09 10:06:02,2012-04-09 11:09:28,LSRII,1.0572222222
Frank Moses,user4,2012-04-09 11:09:40,2012-04-09 13:28:30,LSRII,2.3138888889
Frank Moses,user4,2013-02-21 07:31:48,2013-02-21 08:12:58,LSRII,0.6861111111
Frank Moses,user4,2013-02-25 07:37:58,2013-02-25 07:59:40,LSRII,0.3616666667
Frank Moses,user4,2013-02-25 10:02:44,2013-02-25 10:03:13,LSRII,0.0080555556
Frank Moses,user4,2013-09-17 06:50:54,2013-09-17 08:09:48,LSRII,1.315
Frank Moses,user4,2013-09-18 06:52:51,2013-09-18 07:57:07,LSRII,1.0711111111
Frank Moses,user4,2013-09-19 07:18:06,2013-09-19 07:48:11,LSRII,0.5013888889
Frank Moses,user4,2014-01-30 07:53:14,2014-01-30 13:02:35,LSRII,5.1558333333
Frank Moses,user4,2014-01-31 07:49:35,2014-01-31 08:47:57,LSRII,0.9727777778
Frank Moses,user4,2014-01-31 09:10:08,####-##-## ##:##:##,LSRII,0.0
Frank Moses,user4,2014-07-11 07:31:22,2014-07-11 07:50:52,LSRII,0.325
Frank Moses,user4,2014-10-13 12:20:54,2014-10-13 12:27:06,FACSCantoII,0.1033333333
Frank Moses,user4,2014-10-14 07:48:37,2014-10-14 08:06:51,FACSCantoII,0.3038888889
Frank Moses,user4,2014-10-14 13:09:50,2014-10-14 13:15:15,FACSCantoII,0.0902777778
Frank Moses,user4,2014-10-15 07:43:48,2014-10-15 08:29:57,FACSCantoII,0.7691666667
Frank Moses,user4,2014-10-15 14:26:58,2014-10-15 14:42:02,FACSCantoII,0.2511111111
Frank Moses,user4,2014-10-16 07:29:52,2014-10-16 08:20:06,FACSCantoII,0.8372222222
Frank Moses,user4,2014-10-16 10:21:31,2014-10-16 10:22:10,FACSCantoII,0.0108333333
Frank Moses,user4,2014-10-16 10:28:17,2014-10-16 10:31:24,FACSCantoII,0.0519444444
,,,,Total,46.8780555557

Chuck Norris,user5,2012-04-09 13:30:31,2012-04-09 17:03:19,LSRII,3.5466666667
Chuck Norris,user5,2012-04-11 10:43:14,2012-04-11 12:47:30,LSRII,2.0711111111
Chuck Norris,user5,2012-04-11 12:47:35,2012-04-11 14:04:38,LSRII,1.2841666667
Chuck Norris,user5,2012-04-11 14:04:55,2012-04-11 15:43:44,LSRII,1.6469444444
Chuck Norris,user5,2012-04-11 15:43:48,2012-04-11 17:07:49,LSRII,1.4002777778
Chuck Norris,user5,2012-04-11 17:08:07,2012-04-11 17:10:52,LSRII,0.0458333333
Chuck Norris,user5,2013-02-26 07:31:19,2013-02-26 07:49:33,LSRII,0.3038888889
Chuck Norris,user5,2013-02-26 09:15:49,2013-02-26 09:29:26,LSRII,0.2269444444
Chuck Norris,user5,2013-02-27 06:42:51,2013-02-27 07:19:40,LSRII,0.6136111111
Chuck Norris,user5,2013-09-20 07:17:05,2013-09-20 07:42:56,LSRII,0.4308333333
Chuck Norris,user5,2013-09-23 07:19:01,2013-09-23 07:54:03,LSRII,0.5838888889
Chuck Norris,user5,2013-09-24 07:14:17,2013-09-24 07:52:22,LSRII,0.6347222222
Chuck Norris,user5,2013-09-24 13:24:13,2013-09-24 13:25:27,LSRII,0.0205555556
Chuck Norris,user5,2014-07-14 07:47:20,2014-07-14 08:44:50,LSRII,0.9583333333
Chuck Norris,user5,2014-07-14 09:58:19,2014-07-14 09:58:51,LSRII,0.0088888889
Chuck Norris,user5,2014-07-15 07:36:36,2014-07-15 08:08:13,LSRII,0.5269444444
